name,gender,age,job,province,point
สุภาลินี ศรีเผด็จ,เพศหญิง,41,วิศวกร,จังหวัดพัทลุง,24032
อุดมลักษณ์ นาคะนคร,เพศหญิง,37,พิธีกร,จังหวัดกำแพงเพชร,1027
เฉลิมรัตน์ บุณยะภาชน์,เพศชาย,28,เกษตรกร,จังหวัดสงขลา,966
พรสวรรค์ ศรีวงค์,เพศหญิง,60,โปรแกรมเมอร์,จังหวัดนครศรีธรรมราช,1053
มารีนี นกทอง,เพศหญิง,31,นางแบบ,จังหวัดลำปาง,4837
ปภาวรินทร์ นิยมธรรม,เพศหญิง,28,เจ้าหน้าที่พัฒนาเอกชน,จังหวัดระยอง,6223
พศร ตะละภัฏ,เพศชาย,30,พิธีกร,จังหวัดขอนแก่น,11408
ราชัน ผลบุญ,เพศชาย,52,นักสำรวจ,จังหวัดเลย,18846
นันทวรรณ นาฏคายี,เพศหญิง,43,นักพจนานุกรม,จังหวัดสระแก้ว,18420
นาย ทรัพย์สาร,เพศชาย,45,ทหารบก,จังหวัดสุรินทร์,8841
ยนงคราญ เนื้อนุ่ม,เพศหญิง,37,นักแต่งเพลง,จังหวัดเพชรบูรณ์,13353
มนัญชยา นาคะนคร,เพศหญิง,23,ตำรวจ,จังหวัดกทม.,11767
ศรินยา นะวะมันดร,เพศหญิง,51,นักผจญภัย,จังหวัดศรีสะเกษ,16481
นิติยา แก้วชลคราม,เพศหญิง,51,นักพจนานุกรม,จังหวัดปทุมธานี,21520
คมสัน ธรรมฤดี,เพศชาย,54,นักการกุศล,จังหวัดกาฬสินธุ์,685
มาโนชญ์ ตั้งเผ่า,เพศชาย,41,นักสังคมสงเคราะห์,จังหวัดอุดรธานี,5378
พรชีวิน ทีฆะ,เพศหญิง,47,นักดนตรี,จังหวัดกรุงเทพมหานคร,5440
พิศพรรณ ทรัพย์ธำรงค์,เพศหญิง,48,นักประวัติศาสตร์,จังหวัดกระบี่,20159
จิรวิทย์ แก้วชลคราม,เพศชาย,39,นักพากย์,จังหวัดน่าน,9731
กิติกานต์ นิลวิมล,เพศหญิง,41,นักสะสมศิลปะ,จังหวัดเพชรบุรี,9016
กษิดิฐ ศิวะวรเวท,เพศชาย,24,ผู้กำกับ,จังหวัดนครพนม,9969
ทินพร ธรรมสถิตไพศาล,เพศหญิง,26,นักภาษาศาสตร์,จังหวัดจันทบุรี,7150
โรสชา นุ่มกัน,เพศหญิง,31,บรรณาธิการ,จังหวัดชุมพร,8122
นางกุลภาวลัย ถนัดการยนต์,เพศหญิง,53,ผู้กำกับ,จังหวัดอุทัยธานี,6529
ศจีกาญจน์ ไสยกิจ,เพศหญิง,37,นักผจญภัย,จังหวัดสุโขทัย,6874
วณัฐดา บุญญาไลย์,เพศหญิง,44,นักหนังสือพิมพ์,จังหวัดนครนายก,24994
พัชรพร หิรัญสาลี,เพศชาย,45,ช่างทำเครื่องดนตรี,จังหวัดเลย,21160
นิชนันท์ ติระคมน์,เพศชาย,51,ผู้กำกับ,จังหวัดพังงา,23352
อัครพนธ์ ประจันตะเสน,เพศชาย,36,บรรณารักษ์,จังหวัดสงขลา,24599
จรรยพร นาคพันธุ์,เพศหญิง,28,ทนายความ,จังหวัดศรีสะเกษ,18620
ทินวัฒน์ ตันยา,เพศชาย,23,นักวาดการ์ตูน,จังหวัดตาก,22797
ทรรศนชัย ถนัดอักษร,เพศชาย,37,นักแปล,จังหวัดชุมพร,15178
พิมพ์พิชญา ดุษฎีวนิช,เพศหญิง,24,เจ้าหน้าที่รัฐบาล,จังหวัดภูเก็ต,23990
ศิรินันท์ ถนัดหัตถกรรม,เพศหญิง,25,นักการกุศล,จังหวัดบึงกาฬ,771
นางปิยะชาติ ทองอยู่,เพศหญิง,24,นักสัตววิทยา,จังหวัดประจวบคีรีขันธ์,24926
สุทธิพจน์ ถะเกิงชศ,เพศชาย,32,นักสืบ,จังหวัดพัทลุง,12301
วันฉัตร ธนรักษ์,เพศชาย,49,นักวิทยาศาสตร์,จังหวัดนครศรีธรรมราช,9316
วัลลภ ชุมวระ,เพศชาย,27,นักชีววิทยา,จังหวัดอุดรธานี,22334
พีระพงศ์พันธ์ สาระพันธ์,เพศชาย,23,นักแสดง,จังหวัดแม่ฮ่องสอน,5170
สินสมุทร นรวิทย์โชติกุล,เพศชาย,42,นายแบบ,จังหวัดพังงา,4014
โสภณิตา ดาบเพ็ชร์,เพศหญิง,57,ช่างทำผม,จังหวัดลพบุรี,18703
วัลยา ฉายแสง,เพศหญิง,32,นักการเมือง,จังหวัดราชบุรี,4127
ปิยบุตร ราชมณี,เพศชาย,55,นักประวัติศาสตร์,จังหวัดลพบุรี,25664
ชนิศา จันอ้น,เพศหญิง,34,นักวิทยาศาสตร์,จังหวัดนครราชสีมา,14483
ธมลพรรณ ศรีสัตย์,เพศหญิง,28,มัคคุเทศก์,จังหวัดกาญจนบุรี,12908
ถนอมชัย ตั้งรบ,เพศชาย,36,จิตรกร,จังหวัดพิษณุโลก,7348
วิทูลย์ อัตตนาถ,เพศชาย,50,นักจิตวิทยา,จังหวัดชัยภูมิ,319
คำ ถนอมพลกรัง,เพศหญิง,20,นักเคลื่อนไหว,จังหวัดมหาสารคาม,13314
ณัฐธภรณ์ ยางสวย,เพศหญิง,53,ผู้กำกับละครโทรทัศน์,จังหวัดน่าน,11441
ดวงพร ดาบเพ็ชร์,เพศหญิง,21,นักถ่ายภาพ,จังหวัดกทม.,4386
ศรีสวัสดิ์ ถนัดกลึง,เพศชาย,30,นักคณิตศาสตร์,จังหวัดสมุทรสงคราม,16556
พัสวี นาคะนคร,เพศหญิง,40,จ๊อกกี้,จังหวัดบึงกาฬ,4852
หลี ประจันตะเสน,เพศชาย,32,นักธุรกิจ,จังหวัดนนทบุรี,14487
เทียมศักดิ์ ตวันเยี่ยม,เพศชาย,24,ภัณฑารักษ์,จังหวัดฉะเชิงเทรา,12110
อัญพัชร์ ด้วงโสน,เพศหญิง,33,นักภาษาศาสตร์,จังหวัดฉะเชิงเทรา,16907
ยุภา นิยมธรรม,เพศหญิง,37,นักจัดรายการวิทยุ,จังหวัดสิงห์บุรี,25200
ด.ญ.ธีริสรา ตั้งกุลงาม,เพศหญิง,28,วิศวกร,จังหวัดบุรีรัมย์,5813
ทานตะวัน นิลเสนา,เพศหญิง,32,นักสังคมศาสตร์,จังหวัดนราธิวาส,9846
ภัทรนาฎ ไทนิยม,เพศหญิง,38,วิศวกร,จังหวัดนครศรีธรรมราช,25654
อัญพัชร์ ธรรมนิยม,เพศหญิง,38,นักประดิษฐ์,จังหวัดอำนาจเจริญ,6052
ณัฐพิชา ดาวกระจาย,เพศหญิง,28,นักการกุศล,จังหวัดพระนครศรีอยุธยา,6500
ตรีนุช เตมิยะเดช,เพศหญิง,32,เกษตรกร,จังหวัดระยอง,25285
ไพสิฐ ถนอมพลกรัง,เพศชาย,33,นักเขียน,จังหวัดบุรีรัมย์,1693
เจษฎากร เตชะกำพุ,เพศชาย,31,ผู้กำกับละครโทรทัศน์,จังหวัดประจวบคีรีขันธ์,11767
ปัตถพงษ์ นาถะพินธุ,เพศชาย,31,นักชีววิทยา,จังหวัดกรุงเทพมหานคร,20378
มลิวรรณ ตั้งกุลงาม,เพศหญิง,23,นักสังคมวิทยา,จังหวัดนครพนม,21023
กองสิน ธรรมนิยม,เพศหญิง,20,นักกีฬา,จังหวัดสิงห์บุรี,7465
เขียว ไทนิยม,เพศชาย,49,เกษตรกร,จังหวัดอุทัยธานี,12681
เอกอธิพงษ์ วาทา,เพศชาย,48,ผู้กำกับละครโทรทัศน์,จังหวัดชัยภูมิ,10521
สุกฤษตา บุตดา,เพศหญิง,33,อาจารย์,จังหวัดนครสวรรค์,16618
ธีริสรา ตัณสถิตย์,เพศหญิง,49,นักสังคมสงเคราะห์,จังหวัดสมุทรสาคร,3101
อัญชัญ ตราชู,เพศหญิง,22,นักจิตวิทยา,จังหวัดพิจิตร,4897
ธีริสรา ธรรมนิยม,เพศหญิง,46,เภสัชกร,จังหวัดประจวบคีรีขันธ์,14190
ทิพรดา เมืองสุข,เพศหญิง,54,นักประดิษฐ์,จังหวัดภูเก็ต,10557
อัญพัชร์ ทันยุค,เพศหญิง,26,นักประดิษฐ์,จังหวัดอุตรดิตถ์,22645
ทินพร นากกนก,เพศหญิง,21,วีเจ,จังหวัดขอนแก่น,15559
ยุภา ดาตู,เพศหญิง,51,นักธุรกิจ,จังหวัดปราจีนบุรี,7714
คำปลิว ราชมณี,เพศชาย,33,นักอนุรักษ์ธรรมชาติ,จังหวัดกาฬสินธุ์,20218
ซูรัยดา นิละทัต,เพศหญิง,46,นักชีววิทยา,จังหวัดชัยภูมิ,15788
วิกิจ ธรรมฤดี,เพศชาย,38,นักพากย์,จังหวัดกาญจนบุรี,23737
อัญชัญ ทุมะบุตร์,เพศหญิง,45,นักการกุศล,จังหวัดพังงา,12096
วิเชียร น้ำทิพย์,เพศหญิง,26,นักจิตวิทยา,จังหวัดพัทลุง,5553
เพ็ญยุภา มิ่งขวัญ,เพศหญิง,58,นักสังคมสงเคราะห์,จังหวัดราชบุรี,19255
ผดุงชาติ ถนัดหัตถกรรม,เพศชาย,24,เภสัชกร,จังหวัดนราธิวาส,25528
ธมลพรรณ อุ่นอก,เพศหญิง,41,นักพากย์,จังหวัดนนทบุรี,23402
อาซือมะ ไทนิยม,เพศหญิง,60,นักบินอวกาศ,จังหวัดปทุมธานี,14432
ปิยนาฎ หนักแน่น,เพศหญิง,41,นักผจญภัย,จังหวัดชัยนาท,2945
เสรี บุนยะศัพท์,เพศชาย,47,อัยการ,จังหวัดพระนครศรีอยุธยา,14228
ปาริตา หนุนสุข,เพศหญิง,43,มัคคุเทศก์,จังหวัดสตูล,18492
ปิยะชาติ ถนัดเดินข่าว,เพศหญิง,51,เกษตรกร,จังหวัดนราธิวาส,19476
วรนาฎ ธัญเสถียร,เพศหญิง,39,เจ้าหน้าทีรักษาความปลอดภัย,จังหวัดกาฬสินธุ์,529
อดิสรณ์ ดำริห์ชอบ,เพศชาย,24,ทนายความ,จังหวัดนครสวรรค์,20280
ศศิยา ทองเนื้อดี,เพศหญิง,26,ทนายความ,จังหวัดเชียงราย,8437
จักรีรัตน์ เณรานุสนธิ์,เพศหญิง,55,นักสังคมศาสตร์,จังหวัดลำปาง,2128
ราณี ทองปากน้ำ,เพศหญิง,36,นักวิทยาศาสตร์,จังหวัดสงขลา,8553
บุญเกิด ซูสารอ,เพศชาย,34,ค้าขาย,จังหวัดสงขลา,25197
ธมลพรรณ ถนอมกุลบุตร,เพศหญิง,25,นักประวัติศาสตร์,จังหวัดพิษณุโลก,12102
เกียรติก้อง ไตรบรรพ,เพศชาย,51,นักธุรกิจ,จังหวัดราชบุรี,17946
พาดีล๊ะ ซูสารอ,เพศหญิง,60,นักปรัชญา,จังหวัดกรุงเทพ,23688
ชลิดา ถนอมกุลบุตร,เพศหญิง,32,นักสำรวจ,จังหวัดยะลา,2515
เขียว ถมปัด,เพศชาย,36,ผู้จัดพิมพ์,จังหวัดปราจีนบุรี,18080
กระสุน เตมิยะเดช,เพศชาย,43,นักสังคมศาสตร์,จังหวัดนครปฐม,21870
ณัฐจศักดิ์ วะคีมัน,เพศชาย,40,นักชีววิทยา,จังหวัดกทม.,24630
สุพนธ์ ถ้วนศรี,เพศชาย,42,นักอนุรักษ์ธรรมชาติ,จังหวัดสมุทรสงคราม,5016
